"","Tid","BNP","KRE","RUR","RHI"
"127",1982-08-15,-5043.96198173191,-54290.9647018433,-37612.4027803854,-22.0873841896724
"128",1982-11-15,-6821.40514774892,-63024.7877947681,-41843.8783108513,-22.3500039717314
"129",1983-02-15,-4603.0949344031,-64764.0699679556,-41992.1218191504,-16.3610005404055
"130",1983-05-15,-3870.2323678061,-61383.9917210186,-40674.7546945326,-7.73809766161752
"131",1983-08-15,-5206.32863127588,-62443.0983019039,-40144.0928320156,-7.80585518756656
"132",1983-11-15,-4444.61611907085,-60988.9613799396,-41109.9168359698,-7.1992595622624
"133",1984-02-15,-2550.07273277634,-59167.9943264324,-40762.103624391,-3.13457243538741
"134",1984-05-15,-2662.74364461321,-50449.1628621679,-39689.3347625422,-2.84345640350347
"135",1984-08-15,-2553.92898511744,-49561.4887876542,-38642.8396038895,-2.98865634284252
"136",1984-11-15,-3140.30169445809,-48433.5619915214,-36601.4197032769,-0.418046267411723
"137",1985-02-15,-2536.29161141795,-48523.7874400354,-34177.2134335315,2.50207978388095
"138",1985-05-15,-2125.17347044736,-38509.9381891791,-29072.7614721874,5.41419183605896
"139",1985-08-15,180.508767637999,-30671.3110210467,-20305.7031232817,12.3577831228943
"140",1985-11-15,1997.24930651808,-8819.35065752088,-12833.3736708356,13.8374266527946
"141",1986-02-15,4838.73812775588,811.34197401127,-3051.87577363881,20.5019793624354
"142",1986-05-15,3099.71293339704,10227.7646701964,-2719.34960858289,17.2407209073827
"143",1986-08-15,405.364653981,27432.4245401147,4433.09636626452,13.9878290935161
"144",1986-11-15,1221.59489237221,52005.4326834355,9445.94547555369,14.2063199616703
"145",1987-02-15,304.536655861831,54364.8669903575,12961.4042220027,6.84695531005877
"146",1987-05-15,4116.10587729072,57461.2473671579,15439.148088268,5.00984782310851
"147",1987-08-15,-1045.3383493001,60331.5021194845,21428.2283263515,3.3921224590984
"148",1987-11-15,1969.41045978569,75543.6384421984,26875.8901235657,1.04669448708905
"149",1988-02-15,728.997202115877,60984.2316641817,29215.8967885086,1.4818566465305
"150",1988-05-15,390.726944955411,62691.8538437366,29932.482563558,-0.260451522011984
"151",1988-08-15,-3193.13917518116,59977.3807783265,31712.0824267391,0.744978699847992
"152",1988-11-15,-945.869929809007,60793.7833968265,31415.7846310025,-0.0352081499399581
"153",1989-02-15,437.618540481566,46912.1129384916,29426.4063750063,-1.95207853061416
"154",1989-05-15,-1104.4833502142,45868.5096295255,25722.6441741153,-3.42815413172382
"155",1989-08-15,-4632.78388251194,39728.9476452329,23603.3018740528,-6.05863959343561
"156",1989-11-15,-3774.88782697135,44630.1465404588,19048.9141435961,-8.89873110492823
"157",1990-02-15,-328.680540528126,40463.4422106085,21354.4703165809,-12.5177528902551
"158",1990-05-15,-520.734576547177,39428.343307128,20240.0075834106,-13.040548151716
"159",1990-08-15,-3526.75069628585,34936.2984463426,19775.4156906541,-16.1325635737869
"160",1990-11-15,-4361.36568182093,39834.0666569823,14538.2043535022,-17.8412121058208
"161",1991-02-15,49.5341494847423,28319.1320371316,14567.9801142506,-16.142305967537
"162",1991-05-15,-1615.54682279874,29379.5124458825,13102.4151750722,-16.1887558710425
"163",1991-08-15,-2856.79201170499,14748.7158423701,8405.60932674919,-17.3144446736204
"164",1991-11-15,-5537.78570962056,16102.1171222387,3435.20444261571,-17.9372854769641
