"","Tid","BNP","KRE","RUR","RHI"
"176",1994-11-15,2142.66349840762,-17050.3528729027,-5033.51661051779,-2.5686721942296
"177",1995-02-15,1538.98677622836,-19558.269022073,-6508.00300975989,-1.95206264302992
"178",1995-05-15,56.0470987166894,-19197.4716917335,-8197.07754546771,-0.965570475649025
"179",1995-08-15,-1764.10857417497,-18268.439246764,-8995.95261391069,-0.35843370416232
"180",1995-11-15,396.506726185422,-15751.5589811104,-7145.3750867629,0.00255261203048196
"181",1996-02-15,-974.113981568262,-10884.1446187587,-3872.344703508,-0.202276314114513
"182",1996-05-15,843.211860470635,-11964.2982523921,-5832.75120331814,-0.409526062432844
"183",1996-08-15,217.79291337625,-8530.72578993979,-2432.48348795391,0.342236721665303
"184",1996-11-15,1043.81506376676,-13684.3664051328,-5796.7074476197,1.78946780058626
"185",1997-02-15,-767.986478259326,-8580.06306147518,-5798.14990719378,2.76388105265604
"186",1997-05-15,2728.71988458701,-7353.11792795455,-4648.05252176416,2.95328881052667
"187",1997-08-15,-417.741796974144,-6124.31555311396,-2834.76326376008,2.86509660413091
"188",1997-11-15,2508.07433727942,-6732.43757544669,-348.653247034622,1.76129058211789
"189",1998-02-15,96.6486804775002,-187.930517030418,5402.84105302605,2.4038108347001
"190",1998-05-15,-2210.27100942344,7434.096330592,9417.3124788739,4.46899680607171
"191",1998-08-15,-278.021271134509,17415.7646513157,10615.2084610035,4.11980326648439
"192",1998-11-15,2005.13993898776,11693.3750214789,10921.9984759417,3.79215180375633
"193",1999-02-15,-2186.48991222773,17326.1161901242,13973.8482639319,3.96367721212224
"194",1999-05-15,-1204.08552666046,17342.4119808481,14352.856224614,3.14874355074291
"195",1999-08-15,-1083.77570510709,10229.3968202113,13086.6271722703,3.16552293595449
"196",1999-11-15,3359.74093379464,-2913.87341167956,6443.73716553446,0.958839544577011
"197",2000-02-15,-36.0335481394486,18942.9939215134,3685.70904309777,1.07348488137055
"198",2000-05-15,506.976331553943,25999.6342504274,987.91793119417,1.6746949354789
"199",2000-08-15,1597.17934668353,11878.083400077,-3912.92369525663,2.85159073165132
"200",2000-11-15,7312.2061506715,3979.47050795092,-7220.27369221159,1.6432724586399
"201",2001-02-15,-618.511602090295,10043.2637608307,-6906.99068510658,2.48949736315852
"202",2001-05-15,-767.528289802866,5366.31609726674,-10657.5148449873,1.22592079799382
"203",2001-08-15,1214.55350519707,9650.97434472227,-9346.48552348008,1.12559241527055
"204",2001-11-15,4740.89737541792,15234.5056040836,-1170.49456666209,-1.93681665786751
"205",2002-02-15,-3215.22253309226,6043.38909028374,-5884.20169015762,-2.41948932045228
"206",2002-05-15,-1148.10460955878,-43.3513852010947,-7770.57387344239,-2.9761224636359
"207",2002-08-15,-703.462036680162,-351.622523932565,-1546.59609309128,-4.18106106340268
"208",2002-11-15,1349.06113784718,-13766.1343759171,-6282.18795750854,-7.10812957648428
"209",2003-02-15,-5914.88860529569,-18321.8450089336,-5033.74834599326,-9.90086132747994
"210",2003-05-15,-6760.10301368334,-23355.5970277795,-3944.52019416758,-10.3585679328368
"211",2003-08-15,-4496.95844920932,-27254.9797091511,-2087.27362547997,-10.8286408120344
"212",2003-11-15,468.387125027152,-36859.162149421,-5671.74319016185,-13.9074213375898
"213",2004-02-15,-4960.01317772844,-36942.1053015878,-5976.85344530519,-13.362761512673
"214",2004-05-15,-4021.63777201913,-39686.1411273308,-7637.36650279598,-12.3230453047491
"215",2004-08-15,-1954.65548154942,-46124.6880414845,-10696.8136191775,-11.0422510801271
"216",2004-11-15,2628.5187830303,-52895.606542679,-16838.592446168,-12.0949862501336
"217",2005-02-15,-5352.84458154874,-46147.5104018759,-14294.8479072384,-9.55503962454136
"218",2005-05-15,378.635943158667,-36482.7149987763,-12876.0482921062,-5.85190182437136
"219",2005-08-15,315.381908251925,-32576.0618028923,-6946.19914628457,-0.386604557966708
"220",2005-11-15,3738.78475530951,-28200.5631883911,-6115.29743795139,5.08995389498565
"221",2006-02-15,-851.92966416821,-17603.1951473199,-1858.38227958398,12.7209892492525
"222",2006-05-15,4638.63156550492,-11182.0918895785,-2285.58247920628,19.568437784459
"223",2006-08-15,4736.00965176956,-8470.90542779151,382.04844306606,21.9191494317062
"224",2006-11-15,5202.69959573502,8283.22214549607,2302.60207582214,19.5901142515224
"225",2007-02-15,399.183603493884,16635.3075884428,3041.2482665789,20.5388548875434
"226",2007-05-15,1640.95587873965,20509.2011211655,5271.91547581269,20.8161158121912
"227",2007-08-15,5669.28739862337,34953.2288654482,14496.8417226884,21.7238696810507
"228",2007-11-15,9903.9012104216,53252.0982191741,14184.8658714016,16.0932598992272
"229",2008-02-15,1032.35457854053,49277.5409643011,9676.24231102509,12.446222175932
"230",2008-05-15,4775.55383687204,53440.7689523181,9152.36607059014,12.5065246973075
"231",2008-08-15,6768.84235214687,56290.0654243549,10306.4645266415,8.05379352014892
"232",2008-11-15,4587.18122593083,97062.0233633796,12921.0708205179,-4.56793985239305
"233",2009-02-15,-6209.6780007681,82236.1777570903,17818.7597119591,-12.7343078049326
"234",2009-05-15,-8309.41932469708,60155.0999477025,18272.228366235,-11.5013695710945
"235",2009-08-15,-3895.85734148437,39953.488020369,21336.4010036461,-8.67209767452844
"236",2009-11-15,-1584.44814474202,28175.0684259128,22260.6655131869,-7.72006290322705
"237",2010-02-15,-5203.79565615298,13641.5656329256,14137.9019347396,-6.21954537954784
"238",2010-05-15,-746.351558141049,23646.6413485032,10686.2217280228,-1.90718783312609
"239",2010-08-15,2701.94035332335,21063.8713947441,10429.9833232046,-0.0839806017935985
"240",2010-11-15,3639.20227667215,12389.6129317112,10063.5712121779,0.257661788602803
"241",2011-02-15,-2121.74931062077,-9791.19491128185,-209.518002010464,-2.06117160812411
"242",2011-05-15,-1221.53301113417,-28908.1313617018,-6719.93478725035,-0.985751824949865
"243",2011-08-15,-1475.96721194119,-22922.2059894547,-5848.72930673541,-4.13097262355344
"244",2011-11-15,488.019152819879,-23422.6033167336,-483.352787068088,-7.92661669769723
"245",2012-02-15,-4037.66023976966,-22477.761634661,-9377.96492577734,-8.77482763692061
"246",2012-05-15,-1551.93428128414,-17482.8021523879,-8558.43832284309,-7.55978784714446
"247",2012-08-15,-117.724371488316,-19417.1227564614,-8534.2077771185,-7.31274855683854
